date,daily_quantity_실리콘_계란찜기(소),daily_quantity_실리콘_뒤짐개,daily_quantity_실리콘_볶음주걱,daily_quantity_내열장갑,daily_quantity_실리콘_계란찜기(대),daily_quantity_실리콘_도마(대),daily_quantity_실리콘_냄비잡이,daily_quantity_실리콘_스테인리스집게(소),daily_quantity_오픈수납함,daily_quantity_실리콘_계란찜기(중),daily_quantity_실리콘_도마(중),daily_quantity_실리콘_멀티스푼,daily_quantity_실리콘_비누받침,daily_quantity_실리콘_스테인리스집게(대),daily_quantity_실리콘_다용도 오일브러쉬,daily_quantity_실리콘_덮개세트_샤크
2022-07-22 0:00,0,15,20,0,0,0,0,0,146,0,0,10,0,0,0,0
2022-07-23 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-24 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-25 0:00,0,0,0,0,0,0,0,0,190,0,0,0,0,0,0,0
2022-07-26 0:00,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-27 0:00,0,13,0,0,48,0,0,0,0,0,0,30,0,0,0,30
2022-07-28 0:00,0,0,0,0,0,0,0,0,164,0,0,0,0,0,0,0
2022-07-29 0:00,0,0,0,0,0,0,0,0,54,0,0,0,0,40,0,0
2022-07-30 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-31 0:00,6,0,0,1,0,7,0,0,756,12,2,0,0,2,0,0
2022-08-01 0:00,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0
2022-08-02 0:00,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
2022-08-03 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-04 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-05 0:00,0,40,60,0,0,0,20,0,4,0,15,39,0,0,0,0
2022-08-06 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-07 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-08 0:00,0,0,0,0,2,0,0,10,20,3,0,0,0,40,0,0
2022-08-09 0:00,0,20,20,0,0,0,10,0,0,0,0,10,0,0,0,0
2022-08-10 0:00,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
2022-08-11 0:00,4,0,60,0,0,0,0,0,9,3,0,0,0,0,0,39
